L 08/01/2020 - 02:54:21: SourceMod log file session started (file "/home/tcagame/jackm1/488/csgo/addons/sourcemod/logs/L20200801.log") (Version "1.10.0.6490")
L 08/01/2020 - 02:54:21: -------- Mapchange to de_overpass --------
L 08/01/2020 - 11:53:41: -------- Mapchange to de_overpass --------
L 08/01/2020 - 12:21:47: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:15:13: -------- Mapchange to de_overpass --------
L 08/01/2020 - 14:21:19: [basecommands.smx] "leo dooly<30><STEAM_1:0:549055462><>" changed map to "inferno"
L 08/01/2020 - 14:21:22: [SM] Changed map to "inferno"
L 08/01/2020 - 14:21:23: -------- Mapchange to de_inferno --------
L 08/01/2020 - 15:03:23: -------- Mapchange to de_dust2 --------
L 08/01/2020 - 15:36:07: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:24:27: -------- Mapchange to de_overpass --------
L 08/01/2020 - 18:41:14: -------- Mapchange to cs_office --------
L 08/01/2020 - 19:40:36: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:36: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:36: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:36: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:36: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:37: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:37: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:37: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:37: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:37: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:38: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:38: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:38: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:38: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:38: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:39: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
L 08/01/2020 - 19:40:41: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "sl0w<56><STEAM_1:1:196094535><>" (damage "0")
L 08/01/2020 - 19:40:42: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "eldritch<41><STEAM_1:0:1226702><>" (damage "0")
L 08/01/2020 - 19:40:42: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "ynnHvH<43><STEAM_1:1:521335109><>" (damage "0")
L 08/01/2020 - 19:40:42: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "kr0md<45><STEAM_1:0:125290236><>" (damage "0")
L 08/01/2020 - 19:40:42: [playercommands.smx] "dylan<47><STEAM_1:0:152419574><>" slapped "dylan<47><STEAM_1:0:152419574><>" (damage "0")
